================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 4 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36277.83

开始迭代优化...

代数 2580 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1186
代数 2590 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1196
代数 2600 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1206
代数 2610 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1216
代数 2620 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1226
代数 2630 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1236
代数 2640 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1246
代数 2650 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1256
代数 2660 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1266
代数 2670 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1276
代数 2680 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1286
代数 2690 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1296
代数 2700 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1306
代数 2710 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1316
代数 2720 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1326
代数 2730 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1336
代数 2740 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1346
代数 2750 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1356
代数 2760 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1366
代数 2770 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1376
代数 2780 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1386
代数 2790 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1396
代数 2800 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1406
代数 2810 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1416
代数 2820 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1426
代数 2830 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1436
代数 2840 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1446
代数 2850 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1456
代数 2860 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1466
代数 2870 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1476
代数 2880 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1486
代数 2890 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1496
代数 2900 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1506
代数 2910 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1516
代数 2920 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1526
代数 2930 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1536
代数 2940 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1546
代数 2950 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1556
代数 2960 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1566
代数 2970 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1576
